Date,Service_Provider
12/1/16 12:01 AM,Lyft
12/1/16 12:01 AM,Uber
12/1/16 12:04 AM,Uber
12/1/16 12:05 AM,Uber
12/1/16 12:05 AM,Lyft
12/1/16 12:05 AM,Uber
12/1/16 12:05 AM,Uber
12/1/16 12:05 AM,Uber
12/1/16 12:06 AM,Uber
12/1/16 12:06 AM,Uber
12/1/16 12:06 AM,Lyft
12/1/16 12:07 AM,Lyft
12/1/16 12:07 AM,Uber
12/1/16 12:08 AM,Lyft
12/1/16 12:08 AM,Uber
12/1/16 12:08 AM,Uber
12/1/16 12:09 AM,Uber
12/1/16 12:09 AM,Lyft
12/1/16 12:10 AM,Uber
12/1/16 12:10 AM,Uber
12/1/16 12:10 AM,Lyft
12/1/16 12:10 AM,Uber
12/1/16 12:11 AM,Uber
12/1/16 12:11 AM,Uber
12/1/16 12:12 AM,Uber
12/1/16 12:15 AM,Uber
12/1/16 12:16 AM,Uber
12/1/16 12:17 AM,Lyft
12/1/16 12:17 AM,Uber
12/1/16 12:18 AM,Uber
12/1/16 12:19 AM,Uber
12/1/16 12:19 AM,Uber
12/1/16 12:20 AM,Uber
12/1/16 12:20 AM,Uber
12/1/16 12:22 AM,Uber
12/1/16 12:22 AM,Uber
12/1/16 12:22 AM,Uber
12/1/16 12:28 AM,Lyft
12/1/16 12:28 AM,Lyft
12/1/16 12:30 AM,Uber
12/1/16 12:30 AM,Uber
12/1/16 12:33 AM,Uber
12/1/16 12:33 AM,Uber
12/1/16 12:34 AM,Uber
12/1/16 12:36 AM,Uber
12/1/16 12:36 AM,Uber
12/1/16 12:38 AM,Uber
12/1/16 12:41 AM,Uber
12/1/16 12:45 AM,Uber
12/1/16 12:45 AM,Uber
12/1/16 12:47 AM,Uber
12/1/16 12:52 AM,Lyft
12/1/16 12:54 AM,Uber
12/1/16 12:57 AM,Lyft
12/1/16 12:58 AM,Uber
12/1/16 1:01 AM,Uber
12/1/16 1:08 AM,Uber
12/1/16 1:13 AM,Lyft
12/1/16 1:14 AM,Uber
12/1/16 1:15 AM,Uber
12/1/16 1:15 AM,Uber
12/1/16 1:15 AM,Uber
12/1/16 1:16 AM,Uber
12/1/16 1:22 AM,Uber
12/1/16 1:23 AM,Uber
12/1/16 1:26 AM,Lyft
12/1/16 1:31 AM,Lyft
12/1/16 1:33 AM,Uber
12/1/16 1:35 AM,Uber
12/1/16 1:46 AM,Uber
12/1/16 1:52 AM,Uber
12/1/16 1:59 AM,Uber
12/1/16 2:03 AM,Lyft
12/1/16 2:06 AM,Uber
12/1/16 2:07 AM,Uber
12/1/16 2:15 AM,Uber
12/1/16 2:16 AM,Lyft
12/1/16 2:24 AM,Lyft
12/1/16 2:28 AM,Uber
12/1/16 2:28 AM,Uber
12/1/16 2:30 AM,Lyft
12/1/16 2:30 AM,Lyft
12/1/16 2:34 AM,Uber
12/1/16 2:34 AM,Uber
12/1/16 2:35 AM,Uber
12/1/16 2:39 AM,Uber
12/1/16 2:42 AM,Lyft
12/1/16 3:11 AM,Lyft
12/1/16 4:01 AM,Lyft
12/1/16 4:42 AM,Uber
12/1/16 4:44 AM,Uber
12/1/16 5:29 AM,Uber
12/1/16 5:48 AM,Lyft
12/1/16 6:08 AM,Uber
12/1/16 6:13 AM,Uber
12/1/16 6:36 AM,Lyft
12/1/16 6:36 AM,Uber
12/1/16 6:48 AM,Uber
12/1/16 6:56 AM,Uber
12/1/16 7:00 AM,Uber
12/1/16 7:35 AM,Uber
12/1/16 7:40 AM,Uber
12/1/16 7:40 AM,Lyft
12/1/16 7:42 AM,Uber
12/1/16 7:44 AM,Lyft
12/1/16 7:47 AM,Uber
12/1/16 7:51 AM,Uber
12/1/16 7:51 AM,Uber
