Date,Service_Provider
7/1/16 0:00,Uber
7/1/16 0:00,Uber
7/1/16 0:00,Uber
7/1/16 0:01,Uber
7/1/16 0:01,Uber
7/1/16 0:02,Uber
7/1/16 0:03,Uber
7/1/16 0:03,Uber
7/1/16 0:04,Uber
7/1/16 0:04,Uber
7/1/16 0:05,Uber
7/1/16 0:06,Uber
7/1/16 0:10,Uber
7/1/16 0:10,Uber
7/1/16 0:10,Uber
7/1/16 0:11,Lyft
7/1/16 0:13,Uber
7/1/16 0:13,Uber
7/1/16 0:14,Uber
7/1/16 0:15,Lyft
7/1/16 0:15,Uber
7/1/16 0:16,Uber
7/1/16 0:17,Uber
7/1/16 0:17,Uber
7/1/16 0:19,Uber
7/1/16 0:19,Uber
7/1/16 0:19,Uber
7/1/16 0:20,Uber
7/1/16 0:20,Uber
7/1/16 0:20,Lyft
7/1/16 0:21,Uber
7/1/16 0:23,Lyft
7/1/16 0:23,Uber
7/1/16 0:23,Uber
7/1/16 0:24,Lyft
7/1/16 0:24,Uber
7/1/16 0:24,Lyft
7/1/16 0:25,Uber
7/1/16 0:26,Uber
7/1/16 0:26,Uber
7/1/16 0:26,Uber
7/1/16 0:27,Lyft
7/1/16 0:28,Uber
7/1/16 0:28,Uber
7/1/16 0:29,Uber
7/1/16 0:30,Lyft
7/1/16 0:31,Lyft
7/1/16 0:32,Uber
7/1/16 0:32,Uber
7/1/16 0:33,Uber
7/1/16 0:34,Uber
7/1/16 0:40,Lyft
7/1/16 0:41,Uber
7/1/16 0:43,Uber
7/1/16 0:44,Uber
7/1/16 0:47,Uber
7/1/16 0:47,Uber
7/1/16 0:47,Uber
7/1/16 0:49,Uber
7/1/16 0:49,Uber
7/1/16 0:53,Uber
7/1/16 0:56,Uber
7/1/16 0:59,Uber
7/1/16 1:02,Uber
7/1/16 1:04,Uber
7/1/16 1:08,Uber
7/1/16 1:08,Uber
7/1/16 1:10,Uber
7/1/16 1:13,Uber
7/1/16 1:13,Lyft
7/1/16 1:14,Lyft
7/1/16 1:16,Uber
7/1/16 1:16,Uber
7/1/16 1:16,Uber
7/1/16 1:18,Uber
7/1/16 1:19,Lyft
7/1/16 1:21,Uber
7/1/16 1:26,Uber
7/1/16 1:26,Uber
7/1/16 1:27,Lyft
7/1/16 1:30,Uber
7/1/16 1:31,Uber
7/1/16 1:31,Uber
7/1/16 1:49,Lyft
7/1/16 1:56,Lyft
7/1/16 2:30,Lyft
7/1/16 2:32,Uber
7/1/16 2:33,Lyft
7/1/16 2:36,Uber
7/1/16 2:42,Lyft
7/1/16 2:43,Uber
7/1/16 2:47,Uber
7/1/16 2:51,Uber
7/1/16 3:02,Uber
7/1/16 3:28,Uber
7/1/16 3:30,Uber
7/1/16 3:31,Uber
7/1/16 3:33,Uber
7/1/16 3:47,Uber
7/1/16 3:48,Uber
7/1/16 3:50,Uber
7/1/16 4:19,Uber
7/1/16 4:53,Uber
7/1/16 4:54,Uber
7/1/16 5:21,Lyft
7/1/16 5:38,Lyft
7/1/16 5:47,Uber
7/1/16 6:22,Uber
7/1/16 6:24,Uber
7/1/16 6:24,Uber
7/1/16 6:25,Uber
7/1/16 6:25,Uber
7/1/16 6:28,Uber
7/1/16 6:31,Uber
7/1/16 6:35,Uber
7/1/16 6:35,Uber
7/1/16 6:38,Uber
7/1/16 6:43,Uber
7/1/16 6:46,Uber
7/1/16 6:47,Uber
7/1/16 6:51,Uber
7/1/16 6:52,Uber
7/1/16 6:56,Uber
7/1/16 6:57,Lyft
7/1/16 6:57,Uber
7/1/16 6:59,Lyft
7/1/16 7:01,Lyft
7/1/16 7:02,Uber
7/1/16 7:12,Uber
7/1/16 7:13,Uber
7/1/16 7:13,Uber
7/1/16 7:21,Uber
7/1/16 7:24,Uber
7/1/16 7:27,Uber
7/1/16 7:28,Lyft
7/1/16 7:29,Uber
7/1/16 7:30,Lyft
7/1/16 7:31,Lyft
7/1/16 7:32,Uber
7/1/16 7:35,Uber
7/1/16 7:36,Lyft
7/1/16 7:38,Uber
7/1/16 7:38,Uber
7/1/16 7:39,Lyft
7/1/16 7:40,Uber
7/1/16 7:40,Uber
7/1/16 7:40,Lyft
7/1/16 7:43,Uber
7/1/16 7:45,Uber
7/1/16 7:45,Uber
7/1/16 7:45,Lyft
7/1/16 7:47,Uber
7/1/16 7:51,Uber
7/1/16 7:55,Uber
7/1/16 7:58,Uber
7/1/16 7:59,Uber
7/1/16 8:03,Lyft
7/1/16 8:04,Uber
7/1/16 8:07,Uber
7/1/16 8:11,Uber
7/1/16 8:12,Uber
7/1/16 8:15,Uber
7/1/16 8:15,Uber
7/1/16 8:17,Uber
7/1/16 8:20,Uber
7/1/16 8:21,Lyft
7/1/16 8:23,Uber
7/1/16 8:27,Uber
7/1/16 8:34,Lyft
7/1/16 8:35,Uber
7/1/16 8:35,Uber
7/1/16 8:36,Uber
7/1/16 8:39,Uber
7/1/16 8:41,Lyft
7/1/16 8:41,Uber
7/1/16 8:43,Uber
7/1/16 8:45,Lyft
7/1/16 8:45,Uber
7/1/16 8:45,Uber
7/1/16 8:46,Lyft
7/1/16 8:47,Uber
7/1/16 8:47,Uber
7/1/16 8:49,Uber
7/1/16 8:49,Uber
7/1/16 8:49,Uber
7/1/16 8:50,Uber
7/1/16 8:51,Uber
7/1/16 8:52,Uber
7/1/16 8:53,Uber
7/1/16 8:53,Lyft
7/1/16 8:57,Uber
7/1/16 8:59,Uber
7/1/16 8:59,Lyft
7/1/16 9:02,Lyft
7/1/16 9:06,Uber
7/1/16 9:08,Uber
7/1/16 9:08,Uber
7/1/16 9:10,Uber
7/1/16 9:11,Uber
7/1/16 9:12,Uber
7/1/16 9:12,Uber
7/1/16 9:12,Uber
7/1/16 9:13,Uber
7/1/16 9:14,Uber
7/1/16 9:17,Lyft
7/1/16 9:18,Lyft
7/1/16 9:21,Uber
7/1/16 9:21,Uber
7/1/16 9:23,Lyft
7/1/16 9:23,Uber
7/1/16 9:24,Uber
7/1/16 9:24,Uber
7/1/16 9:25,Uber
7/1/16 9:28,Lyft
7/1/16 9:28,Uber
7/1/16 9:29,Uber
7/1/16 9:29,Uber
7/1/16 9:30,Lyft
7/1/16 9:31,Uber
7/1/16 9:31,Uber
7/1/16 9:31,Uber
7/1/16 9:31,Uber
7/1/16 9:31,Uber
7/1/16 9:32,Uber
7/1/16 9:32,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:33,Uber
7/1/16 9:34,Uber
7/1/16 9:34,Uber
7/1/16 9:35,Uber
7/1/16 9:35,Uber
7/1/16 9:36,Uber
7/1/16 9:36,Uber
7/1/16 9:36,Uber
7/1/16 9:37,Uber
7/1/16 9:38,Lyft
7/1/16 9:38,Uber
7/1/16 9:39,Uber
7/1/16 9:39,Uber
7/1/16 9:40,Uber
7/1/16 9:40,Uber
7/1/16 9:41,Uber
7/1/16 9:41,Uber
7/1/16 9:42,Uber
7/1/16 9:42,Uber
7/1/16 9:42,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:45,Uber
7/1/16 9:46,Uber
7/1/16 9:46,Lyft
7/1/16 9:46,Uber
7/1/16 9:46,Uber
7/1/16 9:48,Uber
7/1/16 9:49,Uber
7/1/16 9:50,Uber
7/1/16 9:51,Uber
7/1/16 9:51,Uber
7/1/16 9:52,Uber
7/1/16 9:52,Uber
