"","Date","Service_Provider","n"
"1",2016-06-13,"Uber",101
"2",2016-06-14,"Uber",134
"3",2016-06-15,"Uber",133
"4",2016-06-16,"Uber",140
"5",2016-06-17,"Lyft",24
"6",2016-06-17,"Uber",153
"7",2016-06-18,"Lyft",102
"8",2016-06-18,"Uber",684
"9",2016-06-19,"Lyft",232
"10",2016-06-19,"Uber",1367
"11",2016-06-20,"Lyft",325
"12",2016-06-20,"Uber",1652
"13",2016-06-21,"Lyft",189
"14",2016-06-21,"Uber",1278
"15",2016-06-22,"Lyft",159
"16",2016-06-22,"Uber",1333
"17",2016-06-23,"Lyft",165
"18",2016-06-23,"Uber",1422
"19",2016-06-24,"Lyft",227
"20",2016-06-24,"Uber",1309
"21",2016-06-25,"Lyft",136
"22",2016-06-25,"Uber",791
"23",2016-06-26,"Lyft",278
"24",2016-06-26,"Uber",1481
"25",2016-06-27,"Lyft",275
"26",2016-06-27,"Uber",1615
"27",2016-06-28,"Lyft",217
"28",2016-06-28,"Uber",1270
"29",2016-06-29,"Lyft",179
"30",2016-06-29,"Uber",1247
"31",2016-06-30,"Lyft",231
"32",2016-06-30,"Uber",1094
"33",2016-07-01,"Lyft",214
"34",2016-07-01,"Uber",1075
"35",2016-07-02,"Lyft",131
"36",2016-07-02,"Uber",745
"37",2016-07-03,"Lyft",144
"38",2016-07-03,"Uber",710
"39",2016-07-04,"Lyft",413
"40",2016-07-04,"Uber",1652
"41",2016-07-05,"Lyft",470
"42",2016-07-05,"Uber",2333
"43",2016-07-06,"Lyft",255
"44",2016-07-06,"Uber",1622
"45",2016-07-07,"Lyft",181
"46",2016-07-07,"Uber",1168
"47",2016-07-08,"Lyft",189
"48",2016-07-08,"Uber",1117
"49",2016-07-09,"Lyft",168
"50",2016-07-09,"Uber",985
"51",2016-07-10,"Lyft",283
"52",2016-07-10,"Uber",1866
"53",2016-07-11,"Lyft",349
"54",2016-07-11,"Uber",1972
"55",2016-07-12,"Lyft",281
"56",2016-07-12,"Uber",1403
"57",2016-07-13,"Lyft",209
"58",2016-07-13,"Uber",1405
"59",2016-07-14,"Lyft",232
"60",2016-07-14,"Uber",1421
"61",2016-07-15,"Lyft",236
"62",2016-07-15,"Uber",1463
"63",2016-07-16,"Lyft",174
"64",2016-07-16,"Uber",933
"65",2016-07-17,"Lyft",344
"66",2016-07-17,"Uber",1724
"67",2016-07-18,"Lyft",386
"68",2016-07-18,"Uber",2022
"69",2016-07-19,"Lyft",311
"70",2016-07-19,"Uber",1677
"71",2016-07-20,"Lyft",255
"72",2016-07-20,"Uber",1467
"73",2016-07-21,"Lyft",249
"74",2016-07-21,"Uber",1413
"75",2016-07-22,"Lyft",262
"76",2016-07-22,"Uber",1629
"77",2016-07-23,"Lyft",198
"78",2016-07-23,"Uber",1072
"79",2016-07-24,"Lyft",329
"80",2016-07-24,"Uber",1743
"81",2016-07-25,"Lyft",422
"82",2016-07-25,"Uber",1912
"83",2016-07-26,"Lyft",257
"84",2016-07-26,"Uber",1479
"85",2016-07-27,"Lyft",240
"86",2016-07-27,"Uber",1342
"87",2016-07-28,"Lyft",248
"88",2016-07-28,"Uber",1387
"89",2016-07-29,"Lyft",261
"90",2016-07-29,"Uber",1338
"91",2016-07-30,"Lyft",242
"92",2016-07-30,"Uber",1265
"93",2016-07-31,"Lyft",342
"94",2016-07-31,"Uber",1692
"95",2016-08-01,"Lyft",390
"96",2016-08-01,"Uber",2178
"97",2016-08-02,"Lyft",267
"98",2016-08-02,"Uber",1558
"99",2016-08-03,"Lyft",269
"100",2016-08-03,"Uber",1507
"101",2016-08-04,"Lyft",232
"102",2016-08-04,"Uber",1463
"103",2016-08-05,"Lyft",271
"104",2016-08-05,"Uber",1451
"105",2016-08-06,"Lyft",153
"106",2016-08-06,"Uber",871
"107",2016-08-07,"Lyft",336
"108",2016-08-07,"Uber",1797
"109",2016-08-08,"Lyft",369
"110",2016-08-08,"Uber",1856
"111",2016-08-09,"Lyft",267
"112",2016-08-09,"Uber",1389
"113",2016-08-10,"Lyft",249
"114",2016-08-10,"Uber",1431
"115",2016-08-11,"Lyft",262
"116",2016-08-11,"Uber",1532
"117",2016-08-12,"Lyft",264
"118",2016-08-12,"Uber",1637
"119",2016-08-13,"Lyft",183
"120",2016-08-13,"Uber",990
"121",2016-08-13,"Wingz",2
"122",2016-08-14,"Lyft",372
"123",2016-08-14,"Uber",1954
"124",2016-08-15,"Lyft",427
"125",2016-08-15,"Uber",2242
"126",2016-08-16,"Lyft",315
"127",2016-08-16,"Uber",1868
"128",2016-08-17,"Lyft",300
"129",2016-08-17,"Uber",1800
"130",2016-08-18,"Lyft",262
"131",2016-08-18,"Uber",1647
"132",2016-08-19,"Lyft",304
"133",2016-08-19,"Uber",1675
"134",2016-08-20,"Lyft",173
"135",2016-08-20,"Uber",995
"136",2016-08-21,"Lyft",397
