"","t_day","Lyft","Uber"
"1",2016-06-13,0,101
"2",2016-06-14,0,134
"3",2016-06-15,0,133
"4",2016-06-16,0,140
"5",2016-06-17,24,153
"6",2016-06-18,102,684
"7",2016-06-19,232,1367
"8",2016-06-20,325,1652
"9",2016-06-21,189,1278
"10",2016-06-22,159,1333
"11",2016-06-23,165,1422
"12",2016-06-24,227,1309
"13",2016-06-25,136,791
"14",2016-06-26,278,1481
"15",2016-06-27,275,1615
"16",2016-06-28,217,1270
"17",2016-06-29,179,1247
"18",2016-06-30,231,1094
"19",2016-07-01,214,1075
"20",2016-07-02,131,745
"21",2016-07-03,144,710
"22",2016-07-04,413,1652
"23",2016-07-05,470,2333
"24",2016-07-06,255,1622
"25",2016-07-07,181,1168
"26",2016-07-08,189,1117
"27",2016-07-09,168,985
"28",2016-07-10,283,1866
"29",2016-07-11,349,1972
"30",2016-07-12,281,1403
"31",2016-07-13,209,1405
"32",2016-07-14,232,1421
"33",2016-07-15,236,1463
"34",2016-07-16,174,933
"35",2016-07-17,344,1724
"36",2016-07-18,386,2022
"37",2016-07-19,311,1677
"38",2016-07-20,255,1467
"39",2016-07-21,249,1413
"40",2016-07-22,262,1629
"41",2016-07-23,198,1072
"42",2016-07-24,329,1743
"43",2016-07-25,422,1912
"44",2016-07-26,257,1479
"45",2016-07-27,240,1342
"46",2016-07-28,248,1387
"47",2016-07-29,261,1338
"48",2016-07-30,242,1265
"49",2016-07-31,342,1692
"50",2016-08-01,390,2178
"51",2016-08-02,267,1558
"52",2016-08-03,269,1507
"53",2016-08-04,232,1463
"54",2016-08-05,271,1451
"55",2016-08-06,153,871
"56",2016-08-07,336,1797
"57",2016-08-08,369,1856
"58",2016-08-09,267,1389
"59",2016-08-10,249,1431
"60",2016-08-11,262,1532
"61",2016-08-12,264,1637
"62",2016-08-13,183,990
"63",2016-08-14,372,1954
"64",2016-08-15,427,2242
"65",2016-08-16,315,1868
"66",2016-08-17,300,1800
"67",2016-08-18,262,1647
"68",2016-08-19,304,1675
"69",2016-08-20,173,995
"70",2016-08-21,397,2105
"71",2016-08-22,441,2308
"72",2016-08-23,255,1703
"73",2016-08-24,261,1631
"74",2016-08-25,270,1622
"75",2016-08-26,254,1576
"76",2016-08-27,175,835
"77",2016-08-28,373,1878
"78",2016-08-29,404,1916
"79",2016-08-30,238,1438
"80",2016-08-31,239,1524
"81",2016-09-01,270,1651
"82",2016-09-02,327,1721
"83",2016-09-03,194,877
"84",2016-09-04,274,1229
"85",2016-09-05,643,2765
"86",2016-09-06,546,2601
"87",2016-09-07,282,1809
"88",2016-09-08,307,1791
"89",2016-09-09,295,2031
"90",2016-09-10,178,1103
"91",2016-09-11,398,2270
"92",2016-09-12,456,2610
"93",2016-09-13,313,1615
"94",2016-09-14,332,1983
"95",2016-09-15,312,2030
"96",2016-09-16,360,1969
"97",2016-09-17,198,1126
"98",2016-09-18,446,2633
"99",2016-09-19,566,2841
"100",2016-09-20,328,2034
"101",2016-09-21,376,2194
"102",2016-09-22,354,2383
"103",2016-09-23,402,2188
"104",2016-09-24,204,1152
"105",2016-09-25,443,2530
"106",2016-09-26,597,3128
"107",2016-09-27,340,2128
"108",2016-09-28,362,2117
"109",2016-09-29,336,2218
"110",2016-09-30,385,2048
"111",2016-10-01,220,1182
"112",2016-10-02,454,2457
"113",2016-10-03,492,2687
"114",2016-10-04,300,1981
"115",2016-10-05,302,2199
"116",2016-10-06,353,2246
"117",2016-10-07,373,2430
"118",2016-10-08,249,1275
"119",2016-10-09,436,2236
"120",2016-10-10,562,2553
"121",2016-10-11,626,2672
"122",2016-10-12,439,2407
"123",2016-10-13,371,2425
"124",2016-10-14,434,2596
"125",2016-10-15,303,1716
"126",2016-10-16,542,3039
"127",2016-10-17,608,3231
"128",2016-10-18,361,2300
"129",2016-10-19,436,2472
"130",2016-10-20,428,2534
"131",2016-10-21,474,2820
"132",2016-10-22,258,1557
"133",2016-10-23,555,2480
"134",2016-10-24,573,2712
"135",2016-10-25,359,2036
"136",2016-10-26,363,2282
"137",2016-10-27,373,2427
"138",2016-10-28,414,2328
"139",2016-10-29,237,1161
"140",2016-10-30,510,2208
"141",2016-10-31,520,2239
"142",2016-11-01,423,2559
